Lat (DD),Long (DD),Depth
51.325579628,-003.499228465,-17.914
51.325572294,-003.499202396,-17.906
51.325573612,-003.499194145,-17.942
51.325576419,-003.499177300,-17.973
51.325583008,-003.499151975,-17.965
51.325573554,-003.499137365,-17.888
51.325574930,-003.499118801,-18.025
51.325571836,-003.499106540,-18.061
51.325573440,-003.499081330,-18.081
51.325572007,-003.499072621,-18.140
51.325572982,-003.499051765,-18.258
51.325572695,-003.499034061,-18.288
51.325581289,-003.499017388,-18.243
51.325573096,-003.498986047,-18.290
51.325572237,-003.498967311,-18.197
51.325582034,-003.498948174,-18.072
51.325581633,-003.498933278,-17.941
51.325582951,-003.498917349,-17.717
51.325582263,-003.498905604,-17.790
51.325579513,-003.498889389,-17.809
51.325577794,-003.498873862,-17.833
51.325573726,-003.498850886,-17.896
51.325572523,-003.498829056,-17.922
51.325572007,-003.498819775,-17.985
51.325575159,-003.498800065,-18.055
51.325572638,-003.498783277,-18.103
51.325574357,-003.498767062,-18.172
51.325573153,-003.498746035,-18.202
51.325572294,-003.498730737,-18.263
51.325573554,-003.498712345,-18.352
51.325572695,-003.498695328,-18.420
51.325573554,-003.498660492,-18.445
51.325573383,-003.498657456,-18.452
51.325577279,-003.498634136,-18.624
51.325574013,-003.498622849,-18.698
51.325572924,-003.498603884,-18.729
51.325576648,-003.498577929,-18.764
51.325577680,-003.498552375,-18.719
51.325576706,-003.498536160,-18.641
51.325576477,-003.498516737,-18.579
51.325573612,-003.498509976,-18.582
51.325582034,-003.498497658,-18.633
51.325574127,-003.498473307,-18.701
51.325579227,-003.498449071,-18.765
51.325578940,-003.498443800,-18.758
51.325578768,-003.498420538,-18.738
51.325575503,-003.498406729,-18.731
51.325572122,-003.498389999,-18.783
51.325574299,-003.498362783,-18.810
51.325576247,-003.498352757,-18.805
51.325581748,-003.498323994,-18.790
51.325580888,-003.498309212,-18.764
51.325581232,-003.498299586,-18.793
51.325582378,-003.498279533,-18.761
51.325582378,-003.498250369,-18.776
51.325581748,-003.498239655,-18.709
51.325581232,-003.498219487,-18.656
51.325572752,-003.498196282,-18.713
51.325572007,-003.498191927,-18.771
51.325577909,-003.498165514,-18.850
51.325579456,-003.498153024,-18.835
51.325582378,-003.498122256,-18.805
51.325576820,-003.498105411,-18.819
51.325575674,-003.498091373,-18.861
51.325577794,-003.498080201,-18.880
51.325583008,-003.498063069,-18.884
51.325582894,-003.498046167,-18.998
51.325576477,-003.498012821,-19.044
51.325576362,-003.498010529,-18.998
51.325582951,-003.497993054,-19.136
51.325572294,-003.497976094,-19.154
51.325581862,-003.497942175,-19.154
51.325582836,-003.497923554,-19.169
51.325573440,-003.497913126,-19.116
51.325576820,-003.497898573,-19.101
51.325578024,-003.497874681,-19.070
51.325575961,-003.497852278,-19.198
51.325575617,-003.497846950,-19.222
51.325581576,-003.497821224,-19.180
51.325572580,-003.497801113,-19.167
51.325579800,-003.497788680,-19.164
51.325578425,-003.497764272,-19.184
51.325574127,-003.497761006,-19.189
51.325575159,-003.497742499,-19.267
51.325573784,-003.497725253,-19.360
51.325580315,-003.497698725,-19.424
51.325573325,-003.497688412,-19.429
51.325581461,-003.497656097,-19.349
51.325581748,-003.497639367,-19.177
51.325573325,-003.497634268,-19.228
51.325594238,-003.500207364,-17.395
51.325593150,-003.500203640,-17.422
51.325583066,-003.500171611,-17.407
51.325594066,-003.500152417,-17.407
51.325592347,-003.500133567,-17.292
51.325583123,-003.500122566,-17.279
